Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL
1999-12-31,28.30465888977051,6.950151443481445,,18.375,,1.1510599851608276,16.561328887939453,14.46875,,30.397174835205078,26.53799819946289,5.7906928062438965,47.99235153198242,18.928173065185547,327.625,7.913405895233153,6.018779277801514,15.887674331665039,7.53125,,,30.58991432189941,,2.6040546894073486,15.045065879821776
2000-01-03,27.29248809814453,6.698944091796875,,18.25,,1.2356278896331787,16.145748138427734,15.5,,29.482208251953125,24.11799430847168,5.491572380065918,44.6945915222168,18.50519371032715,321.25,7.885242938995361,5.646280765533447,15.606757164001465,7.375,,,29.895904541015625,,2.538954734802246,14.693352699279785
2000-01-04,26.208023071289066,6.50754451751709,,17.8125,,1.1980422735214231,14.791295051574707,14.625,,28.31308364868164,22.19019317626953,5.345844268798828,41.28041458129883,17.94122314453125,300.0,7.786677837371826,5.646280765533447,15.263405799865724,6.9375,,,28.93496513366699,,2.538954734802246,14.224422454833984
2000-01-05,26.96714973449707,6.4955811500549325,,18.0,,1.2027404308319092,15.083735466003418,15.0,,28.61806869506836,21.65697288513184,5.315165042877197,38.71977996826172,18.04697036743164,283.5,7.828920841217041,5.744304656982423,14.982486724853516,7.28125,,,29.46883201599121,,2.663238525390625,14.84966278076172
2000-01-06,29.136089324951172,6.722869873046875,,18.03125,,1.1792494058609009,15.206868171691895,16.0,,28.84680938720703,22.3132438659668,5.422543525695801,37.2454833984375,19.245397567749023,236.125,7.835950374603271,5.940356731414795,14.701563835144045,7.75,,,29.895904541015625,,2.663238525390625,14.771513938903807
2000-01-07,29.7144832611084,6.794641971588135,,17.9375,,1.2121368646621704,15.945663452148438,16.25,,29.40595626831055,22.84646797180176,5.529920101165772,40.349281311035156,20.58482551574707,248.375,8.124617576599121,5.842332363128662,14.982486724853516,8.25,,,31.97796058654785,,2.69874906539917,15.318607330322266
2000-01-10,29.56989479064941,6.746791362762451,,20.5,,1.2732136249542236,16.561328887939453,17.5,,30.72756767272949,23.42070198059082,5.200118541717528,42.79351043701172,19.31589126586914,285.5,7.983808994293213,5.822728633880615,15.169767379760742,8.28125,,,33.15243530273437,,2.70466685295105,14.966901779174805
2000-01-11,29.063783645629886,6.651092052459718,,19.8125,,1.329591989517212,15.42234992980957,17.25,,30.880069732666016,23.33866882324219,5.092741966247559,42.21154403686523,18.434694290161133,278.4375,7.983808994293213,5.80312442779541,15.200980186462402,7.5,,,32.93887710571289,,2.69874906539917,14.927825927734375
2000-01-12,29.136089324951172,6.5913405418396,,19.59375,,1.2732136249542236,15.345394134521484,18.125,,31.51545333862305,23.37968826293945,5.008374214172363,41.35801696777344,18.751924514770508,254.0,7.758515357971191,5.842332363128662,14.982486724853516,7.40625,,,34.96752548217773,,2.7283399105072017,15.005974769592285
2000-01-13,29.136089324951172,6.5308685302734375,,21.0,,1.2873080968856812,16.161148071289062,18.875,,32.04918670654297,24.56917953491211,5.123421669006348,41.978759765625,18.61093521118164,232.8125,7.744437217712402,5.920754909515381,15.044914245605467,8.71875,,,35.661563873291016,,2.7520134449005127,15.513999938964846
2000-01-14,28.720378875732425,6.675999164581299,,21.375,,1.2732136249542236,16.330451965332028,20.1875,,33.85369873046875,25.102397918701172,5.269147872924805,42.4443244934082,18.25844955444336,230.0,7.702194690704347,5.80312442779541,15.138558387756348,8.65625,,,38.11729049682617,,2.716503381729126,15.123215675354006
2000-01-18,28.0877742767334,6.5308685302734375,,26.0,,1.2779115438461304,15.760963439941404,19.5,,31.693361282348636,26.04578971862793,4.908667087554932,44.38420867919922,17.377260208129886,211.5,7.688113212585449,5.685492515563965,15.169767379760742,8.265625,,,36.56909942626953,,2.69874906539917,15.045065879821776
2000-01-19,28.575786590576172,6.397830486297607,,24.375,,1.2591190338134766,15.54548454284668,19.59375,,31.87127494812012,25.71765327453613,4.6172142028808585,43.45306015014648,17.41250991821289,224.75,7.505063056945801,5.705097198486327,15.107340812683105,8.53125,,,37.209716796875,,2.722421884536743,14.732434272766113
2000-01-20,27.50938606262207,6.204326629638673,,23.5,,1.1886459589004517,15.714791297912598,19.5,,31.59170341491699,25.6766357421875,4.9930338859558105,42.28914260864258,16.848533630371097,234.0,7.322012424468994,5.626673698425293,15.107340812683105,9.96875,,,36.30217742919922,,2.8289504051208496,14.84966278076172
2000-01-21,27.455177307128906,6.035005569458008,,29.4375,,1.1369656324386597,15.483920097351074,18.9375,,32.53207778930664,24.28205680847168,4.755269527435303,42.6771240234375,16.319820404052734,269.0,7.167123794555664,5.705097198486327,15.044914245605467,11.03125,,,34.59383010864258,,3.166294813156128,14.693352699279785
2000-01-24,26.822566986083984,5.805215358734131,,31.375,,1.1275691986083984,14.9144287109375,17.25,,32.53207778930664,24.24103927612305,4.701581001281738,42.52194595336914,17.024778366088867,262.0625,6.786942005157472,5.607068538665772,14.982486724853516,11.765625,,,33.419361114501946,,3.2787420749664307,14.263503074645994
2000-01-25,26.42491912841797,5.732651233673097,,28.75,,1.0899835824966428,15.514699935913086,20.0,,30.90548324584961,23.42070198059082,4.9009971618652335,42.01756286621094,17.518255233764652,279.3125,6.871426582336426,5.371807098388672,14.951268196105955,11.90625,,,32.565185546875,,2.9591543674468994,14.302574157714846
